,hoax,link,timestamp
88,"ALERTA, ATENCIÓN. Por favor lean y repartan esta información. ALERTA GENERAL ! ! ! No beban FANTA UVA, FANTA NARANJA, Y la COCA COLA Notaron que la propaganda paró... ¿Por qué? La propaganda casi no se ve en los medios de comunicación... ¿Por qué será? Estamos mandando el mensaje que sigue para el conocimiento y la prevención, principalmente para aquellos que beben estos refrescos. Este mensaje está siendo repartido dentro del Hospital donde trabaja una persona amiga de confianza. El dato ya está confirmado: Veintitrés personas ya pasaron por el Hospital de las Clínicas con la misma síntoma: Falta de actividad renal y la aparencia de tumores en el recto (ano). Todos los internados relataron el comienzo de dolores y la consiguiente internación después de ingerir altos niveles de estos refrescos. Investigaciónes realizadas por el nombrado Instituto Fleury, encontraron grandes cantidades de sustancias, Fenofinol, Almeido y Voliteral, sustancias tóxicas y que causan respectivamente, a mala actividad en los riñones y cancer. Según el Dr. Paulo José Teixeira, graduado de la USP Especialista en Toxicologia, las personas no deben ingerir jamas los citados refrescos. La administración de Coca Cola ya asumió su culpa y prometió indemnizar a los pacientes y todos aquellos que vienen a contaminarse con los refrescos. Por el amor de “Dios”...Manden este mensaje a los demas. Sí o sí vamos a intentar a curar mientras hay tiempo. Recuerden: Divulgar a todas sus familiares y a otros esta información y así quedarnos tranquilos. Monique Freitas",http://www.hablillas.org/salud/fanta-uva-naranja-insuficiencia-renal/,2018-01-07 12:22:53
89,"Hace aproximadamente década y media, yo vivía en una granja junto con mis padres. Solamente a unos metros de nuestra casa, vivía una familia que se dedicaba a criar cerdos, además de funcionar también como matadero. El criadero de cerdos de los Smith’s, al cual, el negocio no iba demasiado bien, pues sus ventas estaban decayendo constantemente. Lo cierto es que esa familia sólo estaba compuesta por dos miembros, Peppa Smith y su padre, Johan Smith. La madre de la niña, había sido trasladada a prisión por intentar asesinar a su marido Johan con un machete, en presencia de su hija, cuando estaba en estado de ebriedad. Pues bueno, esa Peppa de la que hablamos, era mi amiga. Era un chica agradable y sumisa, a pesar de todo lo que había pasado. [...] Peppa y yo solíamos hacer dibujos con tizas en la pared de mi granero. Un día como otro cualquiera, mientras y yo y mi poca imaginación dibujábamos una flor, mi amiga estaba haciendo una especie de bosque que era un tanto extraño. ... Peppa comenzó a llorar y vino para que la abrazara, pero su padre se interpuso en el camino y se la llevó a triturar desechos para dárselas de comer a los cerdos. Estaba muy triste, podía escuchar cómo lloraba desde mi casa, cuando el padre comenzó a darle machetazos a quien ella había apodado como Peppa Pig. Llegó a las afueras de mi granero con las manos cubiertas de sangre del animal para reunirse conmigo, y entre lágrimas y llantos, pintó con sangre el vestido de la cerdita menor, Peppa. Luego trazó a una sonrisa de color rojo sobre la tiza rosa, y dejó de llorar. Levantó la mirada hacia a mí, dio unos pasos lentos y me susurró que la acompañara a triturar el resto de desechos, porque no había acabado lo del día anterior. La seguí, y llegamos hasta la máquina trituradora, una inmensa máquina automática de gran potencia. Mi amiga la encendió y llenó una cubeta de cosas desagradables, y se subió a una escalerita. Una vez arriba, la vi vaciar el apestoso contenido y pasado un rato, bajó con algo aún más apestoso. De pronto, la máquina se detuvo. Emitía un crujido como si algo se hubiese atascado. Los poderosos engranajes habían dejado de funcionar, y Peppa, con cara de cansancio, volvió a subir la escalerita para ver qué había fallado. ...",http://www.hablillas.org/entretenimiento/la-origen-peppa-pig-terrible/,2018-01-05 15:50:01
90,"Si alguna vez ve este insecto, por favor no trate de matarlo con sus propias manos o tocarlo, este insecto se propaga el virus hasta el lugar de contacto corporal y circula todo el sistema humano en minutos, que fue avistada por primera vez en la India. Sea tan amable de remitir esta información a ser familias y amigos, me acuerdo de educar a los niños a no matar a un insecto con las manos desnudas o permitir su secreción de tocar su cuerpo.Esta es una Alerta SOS !!!! Por favor comparte.",http://www.hablillas.org/salud/nuevo-insecto-asesino-esparce-virus-mortal-rumor/,2018-01-04 13:57:53
91,EN ISRAEL ESTA CAYENDO FUEGO DEL CIELO DE LA NADA OJO ¿será que se están cumpliendo las profecías? y porque no sale nada de esto en la NOTICIAS.,http://www.hablillas.org/religion/bolas-fuego-cielo-israel/,2018-01-03 13:41:55
93,"Hola, soy Karelis Hernández directora de whatsapp, este mensaje es para informarles a todos nuestros usuarios que sólo nos quedan 530 cuentas disponibles para nuevos teléfonos, y que nuestros servidores han estado recientemente muy congestionados, por lo que estamos pidiendo su ayuda para solucionar este problema.  Necesitamos que nuestros usuarios activos reenvien este mensaje a cada una de las personas de su lista de contactos a fin de confirmar nuestros usuarios activos que utilizan WhatsApp, si usted no envía este mensaje a todos sus contactos de WhatsApp, entonces su cuenta permanecerá inactiva con la consecuencia de perder todos sus contactos.  El símbolo de actualización automática en su SmartPhone, aparecera con la transmisión de este mensaje. Su SmartPhone se actualizará dentro de las 24 horas siguientes, contará con un nuevo diseño, un nuevo color para el chat y su icono pasará de ser verde a azul.Whatsapp pasará a tarifa de pago a menos que seas un usuario frecuente.  Si tienes al menos 10 contactos envía este sms y el logotipo se convertirá en rojo para indicar que eres un usuario frecuente Mañana empiezan a cobrar los mensajes por whatsapp a 0.37 centavos. Reenvia este mensaje a mas de 9 personas de tus contactos y te será gratuito de por vida fíjate y se pondrá azul la pelotita de arriba hazlo Pues veremos!! Confirmando este será el nuevo icono del whatsApp Mándalo a todos tus contacto para que se actualicé la aplicación.",http://www.hablillas.org/tecnologia/whatsapp-empezara-cobrar-037/,2017-12-29 11:32:08
96,"Honduras: Reinaldo Rios investiga un caso de presencia de otra especie de animal raro. Esta vez se trata de una serpiente, la encontraron en las montañas de Honduras. La Biblia nos habla de la serpiente de 7 cabezas, pero aunque muchos lo analizaran simbolicamente, esta vez se dio literalmente [...] Referencas biblicas: De esta manera la Biblia identifica al dragón como Satanás y como Roma. ... Las 7 cabezas y los 10 cuernos del dragón no son las mismas 7 cabezas y 10.... Apocalipsis 12:9 Y fue lanzado fuera el gran dragón, la serpiente Antigua.",http://www.hablillas.org/latinoamerica/culebra-siete-cabezas-honduras/,2017-12-22 10:18:21
106,"“Es que ve un video de internet, de todos, y habla de ti” Texto adaptado y traducido por Hellen Bizerra Related",http://www.hablillas.org/deporte/hijo-cristiano-ronaldo-messi-idolo/,2017-12-08 12:37:56
112,Obs: Este artículo fue una sugerencia de diversos lectores del Hablillas.org. Si desea enviar una sugerencia a nosostros contáctanos en el sitio o en nuestra página del Facebook. Related,http://www.hablillas.org/mundo/restaurante-vende-carne-humana-tokio/,2017-11-29 21:08:34
125,LATAM Airlines está regalando 2 entradas de clase de negocios para celebrar a su cumpleaños. Obtener sus entradas y volar a cualquier parte”.  Obs: Este artículo fue una sugerencia de diversos lectores del Hablillas.org. Si desea enviar una sugerencia a nosostros contáctanos en el sitio o en nuestra página del Facebook. Related,http://www.hablillas.org/tecnologia/latam-regalando-entradas-gratuitas/,2017-11-11 12:44:26
127,Obs: Este artículo fue una sugerencia de diversos lectores del Hablillas.org. Si desea enviar una sugerencia a nosostros contáctanos en el sitio o en nuestra página del Facebook. Related,http://www.hablillas.org/salud/hospital-ganara-5-centavos-video-macaco/,2017-11-08 23:31:24
132,"El día de hoy quiero decir que estoy cansado. Cansado de todo. Quiero dirigirme a los líderes del mundo. ¿Qué ocurren con ustedes? ¿Qué plan diabólico traman? Ustedes están deliberadamente intentando reducir la población.  Y lo hacen a costas de vidas inocentes. De mentes frágiles que creen en su corrección política. Padres, madres, hijos. ¿Qué clase de monstruo convence a una familia de mutilar a los genitales de su hijo porque este un día se siente niña? Sabiendo perfectamente que un niño no tiene su identidad siquiera formada [...] Ustedes están dando vuelta a los valores de la cultura occidental uno a uno. Intencionalmente. Ustedes están dejando que el terrorismo se lleve vidas inocentes. Ustedes mismos atacaron su propia cultura y valores a consciencia.  Han querido destruir la cristiandad sabiendo que al otro lado venían a imponer el Islam mediante la violencia y el terror [...] La homosexualidad a través de falsos y alterados estudios que mes a mes informan que la heterosexualidad no existe. Artículos sobre supuestas modas en las que los heterosexuales tenemos sexo entre hombres y que la heterosexualidad no es más que una construcción social.  Pues yo les digo hoy que esas son patrañas. Mentiras premeditadas con la finalidad de reducir la población mundial a poco. Porque ustedes saben bien que una sociedad homosexual no podrá reproducirse. [...] América y Europa si no ponen fin a sus planes deberán enfrentarse no solo a la ira de Dios sino también a la mía. Retrocedan con su plan, Dios, y Patria o Muerte. ¡Viva!",http://www.hablillas.org/mundo/putin-guerra-genero-nueva-orden/,2017-11-02 10:36:15
137,Quienes somos!? Somos ateos!!! De donde venimos!? Veninos del mono! Veninos del mono! Quien es nuestro padre!? Satanas Charles Darwin y Richard Dawkins El diezmo es um robo!!! Si senor! El diezmo es um robo!!! Jamás diezmaremos! No practicaremos la abstinencia!! Viva satanas!! Te alabamos Richard Dawkins!! Yisus es um loquillo!! Yo no practico la abstinencia!! Uma explosión me creoooooooo! A donde iremos cuando muramos? Al infierno!!! A quemarnos!!! Com nuestro padre satanas!! Para toda la eternidade!!! Digan si a las relaciones premaritales. Digan si a las relaciones premaritales!!! Somos ateos!! Somos itnorantes!! Nuestro tíos nos violan!!!! Somos homodesviados!!! Satanas nos fornicara em el infierno!!! Que rica la vara del pecado de satanas!!! Oh satanas!!! Veh ya y danos por atrás!!! Mi cuerpo es tuyo!!! Mi alma es tuya!!! Ya siéntense bastardos,http://www.hablillas.org/religion/ateos-grito-iglesia-del-diablo/,2017-10-25 22:54:46
